batch,hit,miss,rate
0, 55,9,85.94
1, 54,10,84.38
2, 52,12,81.25
3, 51,13,79.69
4, 51,13,79.69
5, 44,20,68.75
6, 57,7,89.06
7, 57,7,89.06
8, 59,5,92.19
9, 49,15,76.56
10, 57,7,89.06
11, 50,14,78.12
12, 52,12,81.25
13, 53,11,82.81
14, 55,9,85.94
15, 57,7,89.06
16, 52,12,81.25
17, 55,9,85.94
18, 51,13,79.69
19, 52,12,81.25
20, 51,13,79.69
21, 52,12,81.25
22, 53,11,82.81
23, 53,11,82.81
24, 51,13,79.69
25, 53,11,82.81
26, 50,14,78.12
27, 53,11,82.81
28, 51,13,79.69
29, 54,10,84.38
30, 48,16,75.00
31, 49,15,76.56
32, 55,9,85.94
33, 54,10,84.38
34, 51,13,79.69
35, 53,11,82.81
36, 54,10,84.38
37, 46,18,71.88
38, 50,14,78.12
39, 49,15,76.56
40, 48,16,75.00
41, 54,10,84.38
42, 51,13,79.69
43, 52,12,81.25
44, 54,10,84.38
45, 51,13,79.69
46, 52,12,81.25
47, 52,12,81.25
48, 56,8,87.50
49, 52,12,81.25
50, 56,8,87.50
51, 54,10,84.38
52, 49,15,76.56
53, 53,11,82.81
54, 53,11,82.81
55, 57,7,89.06
56, 55,9,85.94
57, 59,5,92.19
58, 58,6,90.62
59, 53,11,82.81
60, 53,11,82.81
61, 47,17,73.44
62, 50,14,78.12
63, 51,13,79.69
64, 48,16,75.00
65, 54,10,84.38
66, 55,9,85.94
67, 48,16,75.00
68, 51,13,79.69
69, 53,11,82.81
70, 50,14,78.12
71, 52,12,81.25
72, 52,12,81.25
73, 49,15,76.56
74, 58,6,90.62
75, 52,12,81.25
76, 58,6,90.62
77, 56,8,87.50
78, 57,7,89.06
79, 54,10,84.38
80, 48,16,75.00
81, 51,13,79.69
82, 52,12,81.25
83, 55,9,85.94
84, 58,6,90.62
85, 49,15,76.56
86, 48,16,75.00
87, 57,7,89.06
88, 55,9,85.94
89, 53,11,82.81
90, 49,15,76.56
91, 55,9,85.94
92, 48,16,75.00
93, 50,14,78.12
94, 50,14,78.12
95, 54,10,84.38
96, 52,12,81.25
97, 52,12,81.25
98, 48,16,75.00
99, 54,10,84.38
100, 55,9,85.94
101, 55,9,85.94
102, 53,11,82.81
103, 54,10,84.38
104, 56,8,87.50
105, 50,14,78.12
106, 51,13,79.69
107, 54,10,84.38
108, 51,13,79.69
109, 57,7,89.06
110, 50,14,78.12
111, 50,14,78.12
112, 53,11,82.81
113, 49,15,76.56
114, 49,15,76.56
115, 54,10,84.38
116, 51,13,79.69
117, 53,11,82.81
118, 61,3,95.31
119, 56,8,87.50
120, 51,13,79.69
121, 56,8,87.50
122, 51,13,79.69
123, 53,11,82.81
124, 58,6,90.62
125, 52,12,81.25
126, 56,8,87.50
127, 54,10,84.38
128, 50,14,78.12
129, 52,12,81.25
130, 54,10,84.38
131, 56,8,87.50
132, 55,9,85.94
133, 55,9,85.94
134, 52,12,81.25
135, 50,14,78.12
136, 48,16,75.00
137, 52,12,81.25
138, 54,10,84.38
139, 55,9,85.94
140, 55,9,85.94
141, 55,9,85.94
142, 53,11,82.81
143, 53,11,82.81
144, 55,9,85.94
145, 58,6,90.62
146, 51,13,79.69
147, 49,15,76.56
148, 51,13,79.69
149, 54,10,84.38
150, 54,10,84.38
151, 50,14,78.12
152, 58,6,90.62
153, 53,11,82.81
154, 50,14,78.12
155, 51,13,79.69
156, 54,10,84.38
157, 49,15,76.56
158, 57,7,89.06
159, 56,8,87.50
160, 49,15,76.56
161, 50,14,78.12
162, 55,9,85.94
163, 51,13,79.69
164, 49,15,76.56
165, 54,10,84.38
166, 59,5,92.19
167, 54,10,84.38
168, 54,10,84.38
169, 54,10,84.38
170, 47,17,73.44
171, 52,12,81.25
172, 55,9,85.94
173, 53,11,82.81
174, 50,14,78.12
175, 52,12,81.25
176, 46,18,71.88
177, 50,14,78.12
178, 55,9,85.94
179, 51,13,79.69
180, 52,12,81.25
181, 49,15,76.56
182, 52,12,81.25
183, 53,11,82.81
184, 50,14,78.12
185, 53,11,82.81
186, 53,11,82.81
187, 55,9,85.94
188, 47,17,73.44
189, 53,11,82.81
190, 55,9,85.94
191, 50,14,78.12
192, 53,11,82.81
193, 50,14,78.12
194, 53,11,82.81
195, 52,12,81.25
196, 54,10,84.38
197, 51,13,79.69
198, 56,8,87.50
199, 54,10,84.38
200, 49,15,76.56
201, 56,8,87.50
202, 53,11,82.81
203, 53,11,82.81
204, 48,16,75.00
205, 58,6,90.62
206, 46,18,71.88
207, 49,15,76.56
208, 51,13,79.69
209, 48,16,75.00
210, 53,11,82.81
211, 53,11,82.81
212, 57,7,89.06
213, 49,15,76.56
214, 57,7,89.06
215, 56,8,87.50
216, 51,13,79.69
217, 54,10,84.38
218, 55,9,85.94
219, 58,6,90.62
220, 55,9,85.94
221, 52,12,81.25
222, 49,15,76.56
223, 54,10,84.38
224, 51,13,79.69
225, 57,7,89.06
226, 52,12,81.25
227, 53,11,82.81
228, 54,10,84.38
229, 48,16,75.00
230, 53,11,82.81
231, 57,7,89.06
232, 49,15,76.56
233, 51,13,79.69
234, 54,10,84.38
235, 47,17,73.44
236, 51,13,79.69
237, 60,4,93.75
238, 49,15,76.56
239, 54,10,84.38
240, 53,11,82.81
241, 47,17,73.44
242, 53,11,82.81
243, 54,10,84.38
244, 57,7,89.06
245, 47,17,73.44
246, 49,15,76.56
247, 51,13,79.69
248, 50,14,78.12
249, 53,11,82.81
250, 51,13,79.69
251, 52,12,81.25
252, 58,6,90.62
253, 52,12,81.25
254, 44,20,68.75
255, 54,10,84.38
256, 58,6,90.62
257, 51,13,79.69
258, 58,6,90.62
259, 52,12,81.25
260, 57,7,89.06
261, 52,12,81.25
262, 53,11,82.81
263, 53,11,82.81
264, 54,10,84.38
265, 53,11,82.81
266, 53,11,82.81
267, 56,8,87.50
268, 52,12,81.25
269, 53,11,82.81
270, 55,9,85.94
271, 48,16,75.00
272, 54,10,84.38
273, 51,13,79.69
274, 53,11,82.81
275, 52,12,81.25
276, 56,8,87.50
277, 51,13,79.69
278, 48,16,75.00
279, 52,12,81.25
280, 52,12,81.25
281, 53,11,82.81
282, 55,9,85.94
283, 54,10,84.38
284, 54,10,84.38
285, 54,10,84.38
286, 56,8,87.50
287, 49,15,76.56
288, 59,5,92.19
289, 51,13,79.69
290, 49,15,76.56
291, 51,13,79.69
292, 52,12,81.25
293, 50,14,78.12
294, 53,11,82.81
295, 51,13,79.69
296, 56,8,87.50
297, 50,14,78.12
298, 57,7,89.06
299, 52,12,81.25
300, 46,18,71.88
301, 54,10,84.38
302, 53,11,82.81
303, 51,13,79.69
304, 48,16,75.00
305, 56,8,87.50
306, 54,10,84.38
307, 49,15,76.56
308, 55,9,85.94
309, 60,4,93.75
310, 53,11,82.81
311, 55,9,85.94
312, 52,12,81.25
313, 55,9,85.94
314, 56,8,87.50
315, 55,9,85.94
316, 53,11,82.81
317, 48,16,75.00
318, 55,9,85.94
319, 56,8,87.50
320, 56,8,87.50
321, 51,13,79.69
322, 51,13,79.69
323, 51,13,79.69
324, 57,7,89.06
325, 59,5,92.19
326, 50,14,78.12
327, 52,12,81.25
328, 50,14,78.12
329, 57,7,89.06
330, 52,12,81.25
331, 46,18,71.88
332, 51,13,79.69
333, 50,14,78.12
334, 50,14,78.12
335, 53,11,82.81
336, 53,11,82.81
337, 54,10,84.38
338, 51,13,79.69
339, 59,5,92.19
340, 49,15,76.56
341, 54,10,84.38
342, 55,9,85.94
343, 59,5,92.19
344, 55,9,85.94
345, 57,7,89.06
346, 51,13,79.69
347, 48,16,75.00
348, 52,12,81.25
349, 46,18,71.88
350, 57,7,89.06
351, 50,14,78.12
352, 52,12,81.25
353, 48,16,75.00
354, 47,17,73.44
355, 53,11,82.81
356, 49,15,76.56
357, 52,12,81.25
358, 56,8,87.50
359, 53,11,82.81
360, 56,8,87.50
361, 50,14,78.12
362, 52,12,81.25
363, 52,12,81.25
364, 51,13,79.69
365, 52,12,81.25
366, 51,13,79.69
367, 50,14,78.12
368, 53,11,82.81
369, 48,16,75.00
370, 57,7,89.06
371, 55,9,85.94
372, 48,16,75.00
373, 50,14,78.12
374, 49,15,76.56
375, 51,13,79.69
376, 54,10,84.38
377, 50,14,78.12
378, 55,9,85.94
379, 51,13,79.69
380, 55,9,85.94
381, 56,8,87.50
382, 52,12,81.25
383, 56,8,87.50
384, 46,18,71.88
385, 51,13,79.69
386, 54,10,84.38
387, 57,7,89.06
388, 49,15,76.56
389, 49,15,76.56
390, 53,11,82.81
391, 54,10,84.38
392, 51,13,79.69
393, 49,15,76.56
394, 47,17,73.44
395, 57,7,89.06
396, 53,11,82.81
397, 52,12,81.25
398, 51,13,79.69
399, 59,5,92.19
400, 53,11,82.81
401, 57,7,89.06
402, 54,10,84.38
403, 52,12,81.25
404, 50,14,78.12
405, 51,13,79.69
406, 54,10,84.38
407, 49,15,76.56
408, 51,13,79.69
409, 50,14,78.12
410, 55,9,85.94
411, 59,5,92.19
412, 53,11,82.81
413, 52,12,81.25
414, 56,8,87.50
415, 57,7,89.06
416, 56,8,87.50
417, 54,10,84.38
418, 52,12,81.25
419, 52,12,81.25
420, 55,9,85.94
421, 50,14,78.12
422, 58,6,90.62
423, 50,14,78.12
424, 46,18,71.88
425, 49,15,76.56
426, 57,7,89.06
427, 53,11,82.81
428, 51,13,79.69
429, 57,7,89.06
430, 52,12,81.25
431, 54,10,84.38
432, 52,12,81.25
433, 53,11,82.81
434, 56,8,87.50
435, 57,7,89.06
436, 55,9,85.94
437, 51,13,79.69
438, 51,13,79.69
439, 55,9,85.94
440, 51,13,79.69
441, 51,13,79.69
442, 53,11,82.81
443, 54,10,84.38
444, 52,12,81.25
445, 58,6,90.62
446, 50,14,78.12
447, 52,12,81.25
448, 51,13,79.69
449, 50,14,78.12
450, 53,11,82.81
451, 52,12,81.25
452, 53,11,82.81
453, 55,9,85.94
454, 56,8,87.50
455, 55,9,85.94
456, 50,14,78.12
457, 51,13,79.69
458, 49,15,76.56
459, 50,14,78.12
460, 53,11,82.81
461, 53,11,82.81
462, 55,9,85.94
463, 53,11,82.81
464, 50,14,78.12
465, 58,6,90.62
466, 52,12,81.25
467, 54,10,84.38
468, 54,10,84.38
469, 57,7,89.06
470, 56,8,87.50
