batch,hit,miss,rate
1, 47,3,94.00
2, 43,7,86.00
3, 43,7,86.00
4, 44,6,88.00
5, 37,13,74.00
6, 36,14,72.00
7, 41,9,82.00
8, 39,11,78.00
9, 43,7,86.00
10, 43,7,86.00
11, 46,4,92.00
12, 46,4,92.00
13, 44,6,88.00
14, 37,13,74.00
15, 37,13,74.00
16, 37,13,74.00
17, 41,9,82.00
18, 36,14,72.00
19, 42,8,84.00
20, 43,7,86.00
21, 42,8,84.00
22, 43,7,86.00
23, 40,10,80.00
24, 42,8,84.00
25, 38,12,76.00
26, 46,4,92.00
27, 41,9,82.00
28, 44,6,88.00
29, 47,3,94.00
30, 40,10,80.00
31, 39,11,78.00
32, 42,8,84.00
33, 37,13,74.00
34, 44,6,88.00
35, 39,11,78.00
36, 43,7,86.00
37, 41,9,82.00
38, 37,13,74.00
39, 37,13,74.00
40, 37,13,74.00
41, 37,13,74.00
42, 38,12,76.00
43, 42,8,84.00
44, 37,13,74.00
45, 43,7,86.00
46, 38,12,76.00
47, 42,8,84.00
48, 40,10,80.00
49, 41,9,82.00
50, 41,9,82.00
51, 35,15,70.00
52, 36,14,72.00
53, 46,4,92.00
54, 42,8,84.00
55, 40,10,80.00
56, 42,8,84.00
57, 39,11,78.00
58, 47,3,94.00
59, 43,7,86.00
60, 37,13,74.00
61, 44,6,88.00
62, 40,10,80.00
63, 42,8,84.00
64, 38,12,76.00
65, 35,15,70.00
66, 44,6,88.00
67, 40,10,80.00
68, 40,10,80.00
69, 37,13,74.00
70, 42,8,84.00
71, 42,8,84.00
72, 42,8,84.00
73, 34,16,68.00
74, 43,7,86.00
75, 42,8,84.00
76, 36,14,72.00
77, 44,6,88.00
78, 46,4,92.00
79, 43,7,86.00
80, 42,8,84.00
81, 40,10,80.00
82, 41,9,82.00
83, 42,8,84.00
84, 42,8,84.00
85, 46,4,92.00
86, 42,8,84.00
87, 38,12,76.00
88, 44,6,88.00
89, 44,6,88.00
90, 44,6,88.00
91, 39,11,78.00
92, 39,11,78.00
93, 42,8,84.00
94, 44,6,88.00
95, 37,13,74.00
96, 41,9,82.00
97, 46,4,92.00
98, 43,7,86.00
99, 39,11,78.00
100, 40,10,80.00
101, 41,9,82.00
102, 39,11,78.00
103, 42,8,84.00
104, 36,14,72.00
105, 41,9,82.00
106, 42,8,84.00
107, 42,8,84.00
108, 39,11,78.00
109, 39,11,78.00
110, 41,9,82.00
111, 40,10,80.00
112, 36,14,72.00
113, 35,15,70.00
114, 45,5,90.00
115, 43,7,86.00
116, 45,5,90.00
117, 42,8,84.00
118, 37,13,74.00
119, 36,14,72.00
120, 41,9,82.00
121, 40,10,80.00
122, 40,10,80.00
123, 44,6,88.00
124, 42,8,84.00
125, 44,6,88.00
126, 45,5,90.00
127, 47,3,94.00
128, 41,9,82.00
129, 39,11,78.00
130, 43,7,86.00
131, 38,12,76.00
132, 42,8,84.00
133, 47,3,94.00
134, 39,11,78.00
135, 38,12,76.00
136, 41,9,82.00
137, 43,7,86.00
138, 38,12,76.00
139, 38,12,76.00
140, 40,10,80.00
141, 38,12,76.00
142, 43,7,86.00
143, 39,11,78.00
144, 42,8,84.00
145, 43,7,86.00
146, 45,5,90.00
147, 45,5,90.00
148, 40,10,80.00
149, 34,16,68.00
150, 43,7,86.00
151, 42,8,84.00
152, 40,10,80.00
153, 40,10,80.00
154, 45,5,90.00
155, 41,9,82.00
156, 36,14,72.00
157, 37,13,74.00
158, 46,4,92.00
159, 41,9,82.00
160, 41,9,82.00
161, 44,6,88.00
162, 48,2,96.00
163, 41,9,82.00
164, 44,6,88.00
165, 37,13,74.00
166, 39,11,78.00
167, 34,16,68.00
168, 36,14,72.00
169, 42,8,84.00
170, 36,14,72.00
171, 40,10,80.00
172, 42,8,84.00
173, 34,16,68.00
174, 44,6,88.00
175, 41,9,82.00
176, 41,9,82.00
177, 39,11,78.00
178, 44,6,88.00
179, 41,9,82.00
180, 42,8,84.00
181, 40,10,80.00
182, 43,7,86.00
183, 42,8,84.00
184, 47,3,94.00
185, 39,11,78.00
186, 40,10,80.00
187, 39,11,78.00
188, 39,11,78.00
189, 42,8,84.00
190, 44,6,88.00
191, 41,9,82.00
192, 45,5,90.00
193, 42,8,84.00
194, 40,10,80.00
195, 39,11,78.00
196, 41,9,82.00
197, 37,13,74.00
198, 45,5,90.00
199, 43,7,86.00
200, 43,7,86.00
