batch,hit,miss,rate
1, 42,8,84.00
2, 41,9,82.00
3, 40,10,80.00
4, 42,8,84.00
5, 36,14,72.00
6, 37,13,74.00
7, 39,11,78.00
8, 40,10,80.00
9, 37,13,74.00
10, 42,8,84.00
11, 45,5,90.00
12, 42,8,84.00
13, 44,6,88.00
14, 37,13,74.00
15, 37,13,74.00
16, 37,13,74.00
17, 43,7,86.00
18, 36,14,72.00
19, 41,9,82.00
20, 43,7,86.00
21, 42,8,84.00
22, 43,7,86.00
23, 39,11,78.00
24, 40,10,80.00
25, 38,12,76.00
26, 47,3,94.00
27, 42,8,84.00
28, 42,8,84.00
29, 45,5,90.00
30, 42,8,84.00
31, 41,9,82.00
32, 39,11,78.00
33, 37,13,74.00
34, 44,6,88.00
35, 40,10,80.00
36, 42,8,84.00
37, 38,12,76.00
38, 37,13,74.00
39, 36,14,72.00
40, 40,10,80.00
41, 38,12,76.00
42, 40,10,80.00
43, 43,7,86.00
44, 35,15,70.00
45, 38,12,76.00
46, 38,12,76.00
47, 41,9,82.00
48, 40,10,80.00
49, 41,9,82.00
50, 41,9,82.00
51, 31,19,62.00
52, 35,15,70.00
53, 45,5,90.00
54, 41,9,82.00
55, 40,10,80.00
56, 39,11,78.00
57, 39,11,78.00
58, 44,6,88.00
59, 44,6,88.00
60, 35,15,70.00
61, 44,6,88.00
62, 39,11,78.00
63, 43,7,86.00
64, 39,11,78.00
65, 36,14,72.00
66, 44,6,88.00
67, 38,12,76.00
68, 38,12,76.00
69, 35,15,70.00
70, 40,10,80.00
71, 43,7,86.00
72, 40,10,80.00
73, 37,13,74.00
74, 41,9,82.00
75, 43,7,86.00
76, 37,13,74.00
77, 43,7,86.00
78, 45,5,90.00
79, 40,10,80.00
80, 41,9,82.00
81, 39,11,78.00
82, 40,10,80.00
83, 40,10,80.00
84, 41,9,82.00
85, 44,6,88.00
86, 41,9,82.00
87, 42,8,84.00
88, 42,8,84.00
89, 44,6,88.00
90, 42,8,84.00
91, 39,11,78.00
92, 40,10,80.00
93, 40,10,80.00
94, 40,10,80.00
95, 36,14,72.00
96, 36,14,72.00
97, 46,4,92.00
98, 41,9,82.00
99, 39,11,78.00
100, 38,12,76.00
101, 42,8,84.00
102, 42,8,84.00
103, 43,7,86.00
104, 38,12,76.00
105, 40,10,80.00
106, 44,6,88.00
107, 41,9,82.00
108, 40,10,80.00
109, 40,10,80.00
110, 40,10,80.00
111, 39,11,78.00
112, 42,8,84.00
113, 35,15,70.00
114, 43,7,86.00
115, 42,8,84.00
116, 44,6,88.00
117, 39,11,78.00
118, 36,14,72.00
119, 35,15,70.00
120, 40,10,80.00
121, 39,11,78.00
122, 38,12,76.00
123, 36,14,72.00
124, 37,13,74.00
125, 41,9,82.00
126, 42,8,84.00
127, 45,5,90.00
128, 41,9,82.00
129, 39,11,78.00
130, 43,7,86.00
131, 38,12,76.00
132, 42,8,84.00
133, 45,5,90.00
134, 39,11,78.00
135, 37,13,74.00
136, 41,9,82.00
137, 44,6,88.00
138, 40,10,80.00
139, 34,16,68.00
140, 34,16,68.00
141, 41,9,82.00
142, 42,8,84.00
143, 42,8,84.00
144, 39,11,78.00
145, 39,11,78.00
146, 40,10,80.00
147, 43,7,86.00
148, 40,10,80.00
149, 32,18,64.00
150, 39,11,78.00
151, 41,9,82.00
152, 39,11,78.00
153, 37,13,74.00
154, 42,8,84.00
155, 41,9,82.00
156, 36,14,72.00
157, 36,14,72.00
158, 43,7,86.00
159, 41,9,82.00
160, 40,10,80.00
161, 44,6,88.00
162, 46,4,92.00
163, 41,9,82.00
164, 41,9,82.00
165, 38,12,76.00
166, 39,11,78.00
167, 37,13,74.00
168, 36,14,72.00
169, 41,9,82.00
170, 36,14,72.00
171, 40,10,80.00
172, 41,9,82.00
173, 35,15,70.00
174, 41,9,82.00
175, 41,9,82.00
176, 45,5,90.00
177, 41,9,82.00
178, 41,9,82.00
179, 42,8,84.00
180, 42,8,84.00
181, 38,12,76.00
182, 40,10,80.00
183, 41,9,82.00
184, 47,3,94.00
185, 38,12,76.00
186, 35,15,70.00
187, 36,14,72.00
188, 38,12,76.00
189, 41,9,82.00
190, 42,8,84.00
191, 42,8,84.00
192, 44,6,88.00
193, 39,11,78.00
194, 41,9,82.00
195, 40,10,80.00
196, 40,10,80.00
197, 39,11,78.00
198, 42,8,84.00
199, 42,8,84.00
200, 40,10,80.00
