batch,hit,miss,rate
1, 32,18,64.00
2, 38,12,76.00
3, 29,21,58.00
4, 39,11,78.00
5, 33,17,66.00
6, 28,22,56.00
7, 35,15,70.00
8, 36,14,72.00
9, 35,15,70.00
10, 41,9,82.00
11, 35,15,70.00
12, 33,17,66.00
13, 39,11,78.00
14, 32,18,64.00
15, 39,11,78.00
16, 34,16,68.00
17, 28,22,56.00
18, 36,14,72.00
19, 35,15,70.00
20, 40,10,80.00
21, 42,8,84.00
22, 37,13,74.00
23, 38,12,76.00
24, 37,13,74.00
25, 37,13,74.00
26, 34,16,68.00
27, 31,19,62.00
28, 36,14,72.00
29, 31,19,62.00
30, 38,12,76.00
31, 32,18,64.00
32, 33,17,66.00
33, 35,15,70.00
34, 35,15,70.00
35, 29,21,58.00
36, 35,15,70.00
37, 36,14,72.00
38, 37,13,74.00
39, 32,18,64.00
40, 30,20,60.00
41, 41,9,82.00
42, 38,12,76.00
43, 33,17,66.00
44, 31,19,62.00
45, 39,11,78.00
46, 32,18,64.00
47, 37,13,74.00
48, 33,17,66.00
49, 42,8,84.00
50, 39,11,78.00
51, 35,15,70.00
52, 35,15,70.00
53, 39,11,78.00
54, 37,13,74.00
55, 35,15,70.00
56, 37,13,74.00
57, 37,13,74.00
58, 41,9,82.00
59, 30,20,60.00
60, 32,18,64.00
61, 36,14,72.00
62, 35,15,70.00
63, 29,21,58.00
64, 31,19,62.00
65, 32,18,64.00
66, 35,15,70.00
67, 35,15,70.00
68, 35,15,70.00
69, 40,10,80.00
70, 37,13,74.00
71, 34,16,68.00
72, 36,14,72.00
73, 41,9,82.00
74, 39,11,78.00
75, 32,18,64.00
76, 34,16,68.00
77, 32,18,64.00
78, 39,11,78.00
79, 39,11,78.00
80, 33,17,66.00
81, 37,13,74.00
82, 36,14,72.00
83, 35,15,70.00
84, 33,17,66.00
85, 40,10,80.00
86, 28,22,56.00
87, 32,18,64.00
88, 42,8,84.00
89, 38,12,76.00
90, 40,10,80.00
91, 29,21,58.00
92, 35,15,70.00
93, 35,15,70.00
94, 36,14,72.00
95, 33,17,66.00
96, 38,12,76.00
97, 34,16,68.00
98, 37,13,74.00
99, 44,6,88.00
100, 34,16,68.00
101, 37,13,74.00
102, 37,13,74.00
103, 38,12,76.00
104, 37,13,74.00
105, 36,14,72.00
106, 34,16,68.00
107, 37,13,74.00
108, 29,21,58.00
109, 36,14,72.00
110, 33,17,66.00
111, 37,13,74.00
112, 40,10,80.00
113, 36,14,72.00
114, 33,17,66.00
115, 42,8,84.00
116, 28,22,56.00
117, 40,10,80.00
118, 37,13,74.00
119, 36,14,72.00
120, 34,16,68.00
121, 31,19,62.00
122, 37,13,74.00
123, 37,13,74.00
124, 32,18,64.00
125, 40,10,80.00
126, 36,14,72.00
127, 38,12,76.00
128, 34,16,68.00
129, 41,9,82.00
130, 37,13,74.00
131, 36,14,72.00
132, 32,18,64.00
133, 36,14,72.00
134, 34,16,68.00
135, 40,10,80.00
136, 32,18,64.00
137, 34,16,68.00
138, 34,16,68.00
139, 40,10,80.00
140, 32,18,64.00
141, 43,7,86.00
142, 36,14,72.00
143, 35,15,70.00
144, 34,16,68.00
145, 34,16,68.00
146, 35,15,70.00
147, 37,13,74.00
148, 39,11,78.00
149, 38,12,76.00
150, 36,14,72.00
151, 36,14,72.00
152, 32,18,64.00
153, 38,12,76.00
154, 36,14,72.00
155, 36,14,72.00
156, 36,14,72.00
157, 35,15,70.00
158, 31,19,62.00
159, 38,12,76.00
160, 34,16,68.00
161, 38,12,76.00
162, 35,15,70.00
163, 39,11,78.00
164, 35,15,70.00
165, 35,15,70.00
166, 34,16,68.00
167, 39,11,78.00
168, 31,19,62.00
169, 41,9,82.00
170, 32,18,64.00
171, 31,19,62.00
172, 34,16,68.00
173, 37,13,74.00
174, 36,14,72.00
175, 36,14,72.00
176, 32,18,64.00
177, 32,18,64.00
178, 34,16,68.00
179, 38,12,76.00
180, 32,18,64.00
181, 35,15,70.00
182, 36,14,72.00
183, 37,13,74.00
184, 36,14,72.00
185, 31,19,62.00
186, 40,10,80.00
187, 36,14,72.00
188, 36,14,72.00
189, 37,13,74.00
190, 36,14,72.00
191, 36,14,72.00
192, 33,17,66.00
193, 35,15,70.00
194, 30,20,60.00
195, 36,14,72.00
196, 36,14,72.00
197, 35,15,70.00
198, 32,18,64.00
199, 38,12,76.00
200, 35,15,70.00
201, 36,14,72.00
202, 40,10,80.00
203, 35,15,70.00
204, 35,15,70.00
205, 38,12,76.00
206, 35,15,70.00
207, 30,20,60.00
208, 36,14,72.00
209, 34,16,68.00
210, 34,16,68.00
211, 34,16,68.00
212, 36,14,72.00
213, 36,14,72.00
214, 36,14,72.00
215, 37,13,74.00
216, 29,21,58.00
217, 41,9,82.00
218, 37,13,74.00
219, 36,14,72.00
220, 37,13,74.00
221, 34,16,68.00
222, 33,17,66.00
223, 37,13,74.00
224, 35,15,70.00
225, 37,13,74.00
226, 33,17,66.00
227, 41,9,82.00
228, 35,15,70.00
229, 37,13,74.00
230, 39,11,78.00
231, 34,16,68.00
232, 35,15,70.00
233, 39,11,78.00
234, 37,13,74.00
235, 42,8,84.00
236, 30,20,60.00
237, 36,14,72.00
238, 31,19,62.00
239, 35,15,70.00
240, 37,13,74.00
241, 36,14,72.00
242, 40,10,80.00
243, 32,18,64.00
244, 36,14,72.00
245, 38,12,76.00
