batch,hit,miss,rate
1, 45,5,90.00
2, 48,2,96.00
3, 42,8,84.00
4, 47,3,94.00
5, 43,7,86.00
6, 43,7,86.00
7, 44,6,88.00
8, 45,5,90.00
9, 48,2,96.00
10, 49,1,98.00
11, 46,4,92.00
12, 47,3,94.00
13, 48,2,96.00
14, 39,11,78.00
15, 44,6,88.00
16, 47,3,94.00
17, 42,8,84.00
18, 47,3,94.00
19, 48,2,96.00
20, 46,4,92.00
21, 47,3,94.00
22, 46,4,92.00
23, 45,5,90.00
24, 45,5,90.00
25, 45,5,90.00
26, 43,7,86.00
27, 43,7,86.00
28, 44,6,88.00
29, 44,6,88.00
30, 46,4,92.00
31, 42,8,84.00
32, 41,9,82.00
33, 44,6,88.00
34, 44,6,88.00
35, 43,7,86.00
36, 45,5,90.00
37, 48,2,96.00
38, 46,4,92.00
39, 44,6,88.00
40, 42,8,84.00
41, 45,5,90.00
42, 45,5,90.00
43, 44,6,88.00
44, 44,6,88.00
45, 49,1,98.00
46, 46,4,92.00
47, 47,3,94.00
48, 44,6,88.00
49, 48,2,96.00
50, 47,3,94.00
51, 45,5,90.00
52, 44,6,88.00
53, 46,4,92.00
54, 49,1,98.00
55, 41,9,82.00
56, 46,4,92.00
57, 47,3,94.00
58, 48,2,96.00
59, 41,9,82.00
60, 47,3,94.00
61, 46,4,92.00
62, 46,4,92.00
63, 43,7,86.00
64, 46,4,92.00
65, 43,7,86.00
66, 47,3,94.00
67, 47,3,94.00
68, 46,4,92.00
69, 47,3,94.00
70, 47,3,94.00
71, 44,6,88.00
72, 46,4,92.00
73, 44,6,88.00
74, 47,3,94.00
75, 45,5,90.00
76, 40,10,80.00
77, 45,5,90.00
78, 47,3,94.00
79, 47,3,94.00
80, 44,6,88.00
81, 43,7,86.00
82, 47,3,94.00
83, 46,4,92.00
84, 45,5,90.00
85, 45,5,90.00
86, 45,5,90.00
87, 38,12,76.00
88, 47,3,94.00
89, 50,0,100.00
90, 44,6,88.00
91, 42,8,84.00
92, 46,4,92.00
93, 43,7,86.00
94, 44,6,88.00
95, 40,10,80.00
96, 47,3,94.00
97, 43,7,86.00
98, 47,3,94.00
99, 46,4,92.00
100, 47,3,94.00
101, 45,5,90.00
102, 44,6,88.00
103, 46,4,92.00
104, 46,4,92.00
105, 46,4,92.00
106, 44,6,88.00
107, 49,1,98.00
108, 39,11,78.00
109, 44,6,88.00
110, 44,6,88.00
111, 45,5,90.00
112, 46,4,92.00
113, 43,7,86.00
114, 45,5,90.00
115, 46,4,92.00
116, 46,4,92.00
117, 47,3,94.00
118, 46,4,92.00
119, 47,3,94.00
120, 44,6,88.00
121, 45,5,90.00
122, 43,7,86.00
123, 43,7,86.00
124, 42,8,84.00
125, 44,6,88.00
126, 47,3,94.00
127, 43,7,86.00
128, 45,5,90.00
129, 47,3,94.00
130, 46,4,92.00
131, 47,3,94.00
132, 44,6,88.00
133, 46,4,92.00
134, 45,5,90.00
135, 46,4,92.00
136, 45,5,90.00
137, 44,6,88.00
138, 42,8,84.00
139, 46,4,92.00
140, 47,3,94.00
141, 47,3,94.00
142, 45,5,90.00
143, 43,7,86.00
144, 42,8,84.00
145, 43,7,86.00
146, 44,6,88.00
147, 45,5,90.00
148, 46,4,92.00
149, 43,7,86.00
150, 47,3,94.00
151, 47,3,94.00
152, 46,4,92.00
153, 45,5,90.00
154, 44,6,88.00
155, 43,7,86.00
156, 45,5,90.00
157, 46,4,92.00
158, 47,3,94.00
159, 45,5,90.00
160, 44,6,88.00
161, 48,2,96.00
162, 44,6,88.00
163, 45,5,90.00
164, 43,7,86.00
165, 45,5,90.00
166, 45,5,90.00
167, 48,2,96.00
168, 41,9,82.00
169, 48,2,96.00
170, 44,6,88.00
171, 44,6,88.00
172, 43,7,86.00
173, 44,6,88.00
174, 45,5,90.00
175, 46,4,92.00
176, 43,7,86.00
177, 46,4,92.00
178, 45,5,90.00
179, 46,4,92.00
180, 43,7,86.00
181, 46,4,92.00
182, 43,7,86.00
183, 45,5,90.00
184, 45,5,90.00
185, 44,6,88.00
186, 46,4,92.00
187, 45,5,90.00
188, 43,7,86.00
189, 45,5,90.00
190, 44,6,88.00
191, 48,2,96.00
192, 41,9,82.00
193, 40,10,80.00
194, 43,7,86.00
195, 46,4,92.00
196, 46,4,92.00
197, 44,6,88.00
198, 45,5,90.00
199, 48,2,96.00
200, 46,4,92.00
201, 48,2,96.00
202, 46,4,92.00
203, 45,5,90.00
204, 47,3,94.00
205, 45,5,90.00
206, 45,5,90.00
207, 43,7,86.00
208, 46,4,92.00
209, 46,4,92.00
210, 44,6,88.00
211, 44,6,88.00
212, 43,7,86.00
213, 44,6,88.00
214, 43,7,86.00
215, 46,4,92.00
216, 43,7,86.00
217, 47,3,94.00
218, 45,5,90.00
219, 44,6,88.00
220, 44,6,88.00
221, 46,4,92.00
222, 45,5,90.00
223, 46,4,92.00
224, 46,4,92.00
225, 46,4,92.00
226, 46,4,92.00
227, 47,3,94.00
228, 45,5,90.00
229, 49,1,98.00
230, 47,3,94.00
231, 42,8,84.00
232, 46,4,92.00
233, 44,6,88.00
234, 44,6,88.00
235, 48,2,96.00
236, 41,9,82.00
237, 45,5,90.00
